year,population
1960,3031517384
1961,3072470012
1962,3126894230
1963,3193470069
1964,3260479625
1965,3328242834
1966,3398509802
1967,3468395137
1968,3540185668
1969,3614592846
1970,3690229198
1971,3767950635
1972,3843630361
1973,3920044841
1974,3995920225
1975,4070060140
1976,4143135434
1977,4215876682
1978,4289852068
1979,4365802882
1980,4442416674
1981,4520993169
1982,4602785312
1983,4684967631
1984,4766740755
1985,4850182355
1986,4936116651
1987,5024401475
1988,5113495865
1989,5202686551
1990,5293498452
1991,5382640911
1992,5470271607
1993,5556732311
1994,5642156981
1995,5726848893
1996,5811694918
1997,5896174827
1998,5979851049
1999,6062415429
2000,6144444748
2001,6226487141
2002,6308284566
2003,6389592840
2004,6471033757
2005,6552787172
2006,6635162568
2007,6717583637
2008,6801421733
2009,6885608628
2010,6969894715
2011,7053988749
2012,7141430933
2013,7229458453
2014,7317304568
2015,7404251118
2016,7490956237
2017,7577110140
2018,7661177849
2019,7742724795
2020,7821271846
2021,7888963821
2022,7951595433
2023,8024997028
